"Table 236.65. Current expenditures per pupil in fall enrollment in public elementary and secondary schools, by state or jurisdiction: Selected school years, 1969-70 through 2020-21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State or jurisdiction,Unadjusted dollars\1\,Unadjusted dollars\1\,Unadjusted dollars\1\,Unadjusted dollars\1\,Unadjusted dollars\1\,Unadjusted dollars\1\,Unadjusted dollars\1\,Unadjusted dollars\1\,Unadjusted dollars\1\,Unadjusted dollars\1\,Unadjusted dollars\1\,Unadjusted dollars\1\,Unadjusted dollars\1\,Unadjusted dollars\1\,Unadjusted dollars\1\,Unadjusted dollars\1\,Unadjusted dollars\1\,Unadjusted dollars\1\,Constant 2022-23 dollars\2\,Constant 2022-23 dollars\2\,Constant 2022-23 dollars\2\,Constant 2022-23 dollars\2\,Constant 2022-23 dollars\2\,Constant 2022-23 dollars\2\,Constant 2022-23 dollars\2\,Constant 2022-23 dollars\2\,Constant 2022-23 dollars\2\,Constant 2022-23 dollars\2\,Constant 2022-23 dollars\2\,Constant 2022-23 dollars\2\,Constant 2022-23 dollars\2\,Constant 2022-23 dollars\2\,Constant 2022-23 dollars\2\,Constant 2022-23 dollars\2\,Constant 2022-23 dollars\2\,Constant 2022-23 dollars\2\
State or jurisdiction,1969-70,1979-80,1989-90,1999-2000,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2018-19,2019-20\3\,2019-20\3\,2020-21\3\,2020-21\3\,1969-70,1979-80,1989-90,1999-2000,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2018-19,2019-20\3\,2019-20\3\,2020-21\3\,2020-21\3\
1,2,3,4,5,6,7,8,9,10,11,12,13,14,14,15,15,16,16,17,18,19,20,21,22,23,24,25,26,27,28,29,29,30,30,31,31
Rhode Island,807,"2,340","5,908","8,904","14,948","15,172","14,889","15,372","15,797","16,082","16,620","16,954","17,539",,"17,725",,"18,810",,"6,400","9,034","13,944","15,763","20,262","19,981","19,287","19,606","20,002","20,227","20,525","20,477","20,753",,"20,650",,"21,421",
South Carolina,567,"1,597","3,769","6,130","8,908","9,102","9,444","9,608","9,831","10,120","10,425","10,705","10,994",,"11,168",,"12,139",,"4,500","6,166","8,896","10,851","12,074","11,987","12,233","12,254","12,448","12,729","12,875","12,929","13,009",,"13,012",,"13,824",
South Dakota,656,"1,781","3,511","5,632","8,931","8,593","8,630","9,036","9,103","9,335","10,117","10,263","10,325",,"10,392",,"11,095",,"5,205","6,874","8,287","9,970","12,107","11,317","11,179","11,525","11,527","11,741","12,495","12,396","12,217",,"12,108",,"12,636",
Tennessee,531,"1,523","3,405","5,383","8,330","8,348","8,588","8,662","8,776","8,876","9,246","9,599","9,941",,"9,974",,"10,571",,"4,212","5,880","8,036","9,529","11,292","10,994","11,124","11,048","11,112","11,164","11,419","11,594","11,763",,"11,620",,"12,039",
Texas,551,"1,740","3,835","6,288","8,685","8,213","8,285","8,602","9,081","9,352","9,520","9,652","9,868",,"10,394",,"11,049",,"4,372","6,716","9,051","11,130","11,772","10,816","10,731","10,971","11,499","11,762","11,757","11,658","11,677",,"12,109",,"12,583",
Utah,595,"1,556","2,577","4,378","6,440","6,312","6,432","6,546","6,751","7,006","7,206","7,576","7,950",,"8,287",,"9,014",,"4,722","6,007","6,082","7,750","8,729","8,312","8,332","8,349","8,548","8,812","8,900","9,150","9,407",,"9,654",,"10,266",
Vermont,790,"1,930","5,770","8,323","14,707","16,651","17,286","18,066","18,769","19,023","19,480","20,219","21,217",,"22,124",,"24,050",,"6,264","7,451","13,619","14,733","19,936","21,929","22,391","23,042","23,765","23,925","24,059","24,421","25,106",,"25,776",,"27,389",
Virginia,654,"1,824","4,690","6,841","10,363","10,656","10,960","10,955","11,235","11,435","11,885","12,224","12,642",,"12,941",,"13,856",,"5,192","7,042","11,069","12,110","14,047","14,033","14,197","13,973","14,226","14,382","14,679","14,764","14,959",,"15,077",,"15,779",
Washington,853,"2,387","4,382","6,376","9,619","9,604","9,714","10,305","10,684","11,484","11,971","12,986","14,342",,"14,542",,"15,615",,"6,768","9,215","10,343","11,287","13,039","12,648","12,584","13,143","13,528","14,444","14,784","15,684","16,970",,"16,943",,"17,783",
West Virginia,621,"1,749","4,020","7,152","11,978","11,579","11,264","11,371","11,512","11,424","11,745","11,572","12,269",,"12,647",,"13,279",,"4,930","6,750","9,487","12,660","16,236","15,248","14,591","14,503","14,577","14,369","14,505","13,976","14,518",,"14,734",,"15,123",
Wisconsin,793,"2,225","5,020","7,806","11,947","11,233","11,186","11,345","11,538","11,664","12,104","12,446","12,690",,"12,794",,"13,687",,"6,292","8,588","11,847","13,819","16,194","14,793","14,489","14,470","14,609","14,670","14,948","15,032","15,016",,"14,905",,"15,588",
Wyoming,805,"2,369","5,239","7,425","15,815","15,988","15,815","15,903","16,047","16,431","16,513","16,134","16,228",,"16,665",,"18,140",,"6,386","9,145","12,365","13,145","21,437","21,055","20,486","20,284","20,320","20,666","20,394","19,487","19,202",,"19,416",,"20,659",
Other jurisdictions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  American Samoa,---,---,"1,781","2,739",---,---,---,---,---,---,---,"4,862","5,427",,‡,,"7,548",,---,---,"4,205","4,849",---,---,---,---,---,---,---,"5,872","6,422",,‡,,"8,596",
  Guam,766,---,"3,817",---,"8,443","9,300","8,949","8,585","9,431","9,692","9,700","9,902","9,885",,"11,227",,"12,671",,"6,081",---,"9,009",---,"11,445","12,248","11,592","10,949","11,941","12,190","11,979","11,960","11,696",,"13,081",,"14,430",
  Northern Marianas,---,---,"3,356","5,120","7,623","6,246","5,733","5,875",---,---,---,---,---,,---,,---,,---,---,"7,921","9,064","10,333","8,226","7,426","7,494",---,---,---,---,---,,---,,---,
  Puerto Rico,---,---,"1,605","3,404","7,429","7,403","8,460","8,281","7,902","7,821","7,602","6,598","7,877",,"7,223",,"7,610",,---,---,"3,789","6,025","10,071","9,749","10,959","10,562","10,005","9,836","9,388","7,968","9,321",,"8,415",,"8,666",
  U.S. Virgin Islands,---,---,"6,043","6,478","13,226","11,669","10,661","11,705","11,141","11,631","13,000","15,486","16,598",,"15,695",,"16,376",,---,---,"14,262","11,468","17,927","15,367","13,809","14,929","14,106","14,628","16,055","18,704","19,641",,"18,286",,"18,650",
---Not available.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
‡Reporting standards not met.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"\1\Unadjusted (or ""current"") dollars have not been adjusted to compensate for inflation.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"\2\Constant dollars based on the Consumer Price Index (CPI), prepared by the Bureau of Labor Statistics, U.S. Department of Labor, adjusted to a school-year basis.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"\3\Includes current expenditures from funds authorized by the Coronavirus Aid, Relief, and Economic Security (CARES) Act of 2020, the Coronavirus Response and Relief Supplemental Appropriations (CRRSA) Act of 2021, and the American Rescue Plan (ARP) Act of 2021. Due to the lag between when the funds were appropriated and when local education agencies (LEAs) began making expenditures from those funds, only a small portion of the total amounts allocated to LEAs were expended during 2019-20. In 2020-21, expenditures from these funds contributed to a large increase in current expenditures in several states.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
\4\Excludes prekindergarten expenditures and prekindergarten enrollment.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NOTE: Current expenditures include instruction, support services, food services, and enterprise operations. Excludes ""Other current expenditures,"" such as community services, private school programs, adult education, and other programs not allocable to expenditures per pupil in public schools. Expenditures for state administration are excluded in all years except 1969-70 and 1979-80. Beginning in 1989-90, extensive changes were made in the data collection procedures. Some data have been revised from previously published figures.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SOURCE: U.S. Department of Education, National Center for Education Statistics, Statistics of State School Systems, 1969-70; Revenues and Expenditures for Public Elementary and Secondary Education, 1979-80; and Common Core of Data (CCD), ""National Public Education Financial Survey,"" 1989-90 through 2020-21. (This table was prepared September 2023.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
